month_t_minus_12,month_t_minus_11,month_t_minus_10,month_t_minus_9,month_t_minus_8,month_t_minus_7,month_t_minus_6,month_t_minus_5,month_t_minus_4,month_t_minus_3,month_t_minus_2,month_t_minus_1
0.031753823,-0.21581739,-0.14360937,0.29995647,0.94983065,0.9395169,0.3102722,-0.36023346,-0.5974909,-0.5355966,-0.6387518,-0.9894782
-0.21581739,-0.14360937,0.29995647,0.94983065,0.9395169,0.3102722,-0.36023346,-0.5974909,-0.5355966,-0.6387518,-0.9894782,-0.6903304
-0.14360937,0.29995647,0.94983065,0.9395169,0.3102722,-0.36023346,-0.5974909,-0.5355966,-0.6387518,-0.9894782,-0.6903304,-0.14360937
0.29995647,0.94983065,0.9395169,0.3102722,-0.36023346,-0.5974909,-0.5355966,-0.6387518,-0.9894782,-0.6903304,-0.14360937,0.12459327
0.94983065,0.9395169,0.3102722,-0.36023346,-0.5974909,-0.5355966,-0.6387518,-0.9894782,-0.6903304,-0.14360937,0.12459327,0.71257514
0.9395169,0.3102722,-0.36023346,-0.5974909,-0.5355966,-0.6387518,-0.9894782,-0.6903304,-0.14360937,0.12459327,0.71257514,1.1974039
0.3102722,-0.36023346,-0.5974909,-0.5355966,-0.6387518,-0.9894782,-0.6903304,-0.14360937,0.12459327,0.71257514,1.1974039,1.444975
-0.36023346,-0.5974909,-0.5355966,-0.6387518,-0.9894782,-0.6903304,-0.14360937,0.12459327,0.71257514,1.1974039,1.444975,1.2799276
-0.5974909,-0.5355966,-0.6387518,-0.9894782,-0.6903304,-0.14360937,0.12459327,0.71257514,1.1974039,1.444975,1.2799276,0.5681591
-0.5355966,-0.6387518,-0.9894782,-0.6903304,-0.14360937,0.12459327,0.71257514,1.1974039,1.444975,1.2799276,0.5681591,0.062700965
-0.6387518,-0.9894782,-0.6903304,-0.14360937,0.12459327,0.71257514,1.1974039,1.444975,1.2799276,0.5681591,0.062700965,0.13490899
-0.9894782,-0.6903304,-0.14360937,0.12459327,0.71257514,1.1974039,1.444975,1.2799276,0.5681591,0.062700965,0.13490899,-0.009507062
-0.6903304,-0.14360937,0.12459327,0.71257514,1.1974039,1.444975,1.2799276,0.5681591,0.062700965,0.13490899,-0.009507062,0.0008066837
-0.14360937,0.12459327,0.71257514,1.1974039,1.444975,1.2799276,0.5681591,0.062700965,0.13490899,-0.009507062,0.0008066837,0.12459327
0.12459327,0.71257514,1.1974039,1.444975,1.2799276,0.5681591,0.062700965,0.13490899,-0.009507062,0.0008066837,0.12459327,0.10396185
0.71257514,1.1974039,1.444975,1.2799276,0.5681591,0.062700965,0.13490899,-0.009507062,0.0008066837,0.12459327,0.10396185,0.15554042
1.1974039,1.444975,1.2799276,0.5681591,0.062700965,0.13490899,-0.009507062,0.0008066837,0.12459327,0.10396185,0.15554042,0.02143811
1.444975,1.2799276,0.5681591,0.062700965,0.13490899,-0.009507062,0.0008066837,0.12459327,0.10396185,0.15554042,0.02143811,-0.24676454
1.2799276,0.5681591,0.062700965,0.13490899,-0.009507062,0.0008066837,0.12459327,0.10396185,0.15554042,0.02143811,-0.24676454,0.24837987
0.5681591,0.062700965,0.13490899,-0.009507062,0.0008066837,0.12459327,0.10396185,0.15554042,0.02143811,-0.24676454,0.24837987,-0.08171706
0.062700965,0.13490899,-0.009507062,0.0008066837,0.12459327,0.10396185,0.15554042,0.02143811,-0.24676454,0.24837987,-0.08171706,-0.79348356
0.13490899,-0.009507062,0.0008066837,0.12459327,0.10396185,0.15554042,0.02143811,-0.24676454,0.24837987,-0.08171706,-0.79348356,-1.4949363
-0.009507062,0.0008066837,0.12459327,0.10396185,0.15554042,0.02143811,-0.24676454,0.24837987,-0.08171706,-0.79348356,-1.4949363,-1.8147156
0.0008066837,0.12459327,0.10396185,0.15554042,0.02143811,-0.24676454,0.24837987,-0.08171706,-0.79348356,-1.4949363,-1.8147156,-1.7012466
0.12459327,0.10396185,0.15554042,0.02143811,-0.24676454,0.24837987,-0.08171706,-0.79348356,-1.4949363,-1.8147156,-1.7012466,-1.3505203
0.10396185,0.15554042,0.02143811,-0.24676454,0.24837987,-0.08171706,-0.79348356,-1.4949363,-1.8147156,-1.7012466,-1.3505203,-1.6702995
0.15554042,0.02143811,-0.24676454,0.24837987,-0.08171706,-0.79348356,-1.4949363,-1.8147156,-1.7012466,-1.3505203,-1.6702995,-1.3092574
0.02143811,-0.24676454,0.24837987,-0.08171706,-0.79348356,-1.4949363,-1.8147156,-1.7012466,-1.3505203,-1.6702995,-1.3092574,-1.102949
-0.24676454,0.24837987,-0.08171706,-0.79348356,-1.4949363,-1.8147156,-1.7012466,-1.3505203,-1.6702995,-1.3092574,-1.102949,-0.68001467
0.24837987,-0.08171706,-0.79348356,-1.4949363,-1.8147156,-1.7012466,-1.3505203,-1.6702995,-1.3092574,-1.102949,-0.68001467,-0.2880254
-0.08171706,-0.79348356,-1.4949363,-1.8147156,-1.7012466,-1.3505203,-1.6702995,-1.3092574,-1.102949,-0.68001467,-0.2880254,-0.22613311
-0.79348356,-1.4949363,-1.8147156,-1.7012466,-1.3505203,-1.6702995,-1.3092574,-1.102949,-0.68001467,-0.2880254,-0.22613311,-0.339604
-1.4949363,-1.8147156,-1.7012466,-1.3505203,-1.6702995,-1.3092574,-1.102949,-0.68001467,-0.2880254,-0.22613311,-0.339604,-0.75222266
-1.8147156,-1.7012466,-1.3505203,-1.6702995,-1.3092574,-1.102949,-0.68001467,-0.2880254,-0.22613311,-0.339604,-0.75222266,-1.4124126
-1.7012466,-1.3505203,-1.6702995,-1.3092574,-1.102949,-0.68001467,-0.2880254,-0.22613311,-0.339604,-0.75222266,-1.4124126,-1.6496681
-1.3505203,-1.6702995,-1.3092574,-1.102949,-0.68001467,-0.2880254,-0.22613311,-0.339604,-0.75222266,-1.4124126,-1.6496681,-2.5471156
-1.6702995,-1.3092574,-1.102949,-0.68001467,-0.2880254,-0.22613311,-0.339604,-0.75222266,-1.4124126,-1.6496681,-2.5471156,-2.712163
-1.3092574,-1.102949,-0.68001467,-0.2880254,-0.22613311,-0.339604,-0.75222266,-1.4124126,-1.6496681,-2.5471156,-2.712163,-2.382068
-1.102949,-0.68001467,-0.2880254,-0.22613311,-0.339604,-0.75222266,-1.4124126,-1.6496681,-2.5471156,-2.712163,-2.382068,-1.5877758
-0.68001467,-0.2880254,-0.22613311,-0.339604,-0.75222266,-1.4124126,-1.6496681,-2.5471156,-2.712163,-2.382068,-1.5877758,-1.1545256
-0.2880254,-0.22613311,-0.339604,-0.75222266,-1.4124126,-1.6496681,-2.5471156,-2.712163,-2.382068,-1.5877758,-1.1545256,-0.43244344
-0.22613311,-0.339604,-0.75222266,-1.4124126,-1.6496681,-2.5471156,-2.712163,-2.382068,-1.5877758,-1.1545256,-0.43244344,-0.030138489
-0.339604,-0.75222266,-1.4124126,-1.6496681,-2.5471156,-2.712163,-2.382068,-1.5877758,-1.1545256,-0.43244344,-0.030138489,0.2586936
-0.75222266,-1.4124126,-1.6496681,-2.5471156,-2.712163,-2.382068,-1.5877758,-1.1545256,-0.43244344,-0.030138489,0.2586936,-0.07140134
-1.4124126,-1.6496681,-2.5471156,-2.712163,-2.382068,-1.5877758,-1.1545256,-0.43244344,-0.030138489,0.2586936,-0.07140134,-0.66969895
-1.6496681,-2.5471156,-2.712163,-2.382068,-1.5877758,-1.1545256,-0.43244344,-0.030138489,0.2586936,-0.07140134,-0.66969895,-1.2370495
-2.5471156,-2.712163,-2.382068,-1.5877758,-1.1545256,-0.43244344,-0.030138489,0.2586936,-0.07140134,-0.66969895,-1.2370495,-1.1854728
-2.712163,-2.382068,-1.5877758,-1.1545256,-0.43244344,-0.030138489,0.2586936,-0.07140134,-0.66969895,-1.2370495,-1.1854728,-1.1648414
-2.382068,-1.5877758,-1.1545256,-0.43244344,-0.030138489,0.2586936,-0.07140134,-0.66969895,-1.2370495,-1.1854728,-1.1648414,-1.360836
-1.5877758,-1.1545256,-0.43244344,-0.030138489,0.2586936,-0.07140134,-0.66969895,-1.2370495,-1.1854728,-1.1648414,-1.360836,-1.2061043
-1.1545256,-0.43244344,-0.030138489,0.2586936,-0.07140134,-0.66969895,-1.2370495,-1.1854728,-1.1648414,-1.360836,-1.2061043,-0.8656916
-0.43244344,-0.030138489,0.2586936,-0.07140134,-0.66969895,-1.2370495,-1.1854728,-1.1648414,-1.360836,-1.2061043,-0.8656916,-0.34991774
-0.030138489,0.2586936,-0.07140134,-0.66969895,-1.2370495,-1.1854728,-1.1648414,-1.360836,-1.2061043,-0.8656916,-0.34991774,0.5991043
0.2586936,-0.07140134,-0.66969895,-1.2370495,-1.1854728,-1.1648414,-1.360836,-1.2061043,-0.8656916,-0.34991774,0.5991043,1.3933965
-0.07140134,-0.66969895,-1.2370495,-1.1854728,-1.1648414,-1.360836,-1.2061043,-0.8656916,-0.34991774,0.5991043,1.3933965,1.7234914
-0.66969895,-1.2370495,-1.1854728,-1.1648414,-1.360836,-1.2061043,-0.8656916,-0.34991774,0.5991043,1.3933965,1.7234914,1.5274988
-1.2370495,-1.1854728,-1.1648414,-1.360836,-1.2061043,-0.8656916,-0.34991774,0.5991043,1.3933965,1.7234914,1.5274988,1.3315042
-1.1854728,-1.1648414,-1.360836,-1.2061043,-0.8656916,-0.34991774,0.5991043,1.3933965,1.7234914,1.5274988,1.3315042,0.83636177
-1.1648414,-1.360836,-1.2061043,-0.8656916,-0.34991774,0.5991043,1.3933965,1.7234914,1.5274988,1.3315042,0.83636177,0.5784748
-1.360836,-1.2061043,-0.8656916,-0.34991774,0.5991043,1.3933965,1.7234914,1.5274988,1.3315042,0.83636177,0.5784748,0.5578434
-1.2061043,-0.8656916,-0.34991774,0.5991043,1.3933965,1.7234914,1.5274988,1.3315042,0.83636177,0.5784748,0.5578434,0.7641537
-0.8656916,-0.34991774,0.5991043,1.3933965,1.7234914,1.5274988,1.3315042,0.83636177,0.5784748,0.5578434,0.7641537,1.0529858
-0.34991774,0.5991043,1.3933965,1.7234914,1.5274988,1.3315042,0.83636177,0.5784748,0.5578434,0.7641537,1.0529858,1.4965516
0.5991043,1.3933965,1.7234914,1.5274988,1.3315042,0.83636177,0.5784748,0.5578434,0.7641537,1.0529858,1.4965516,1.4037123
1.3933965,1.7234914,1.5274988,1.3315042,0.83636177,0.5784748,0.5578434,0.7641537,1.0529858,1.4965516,1.4037123,1.4346594
1.7234914,1.5274988,1.3315042,0.83636177,0.5784748,0.5578434,0.7641537,1.0529858,1.4965516,1.4037123,1.4346594,1.4346594
1.5274988,1.3315042,0.83636177,0.5784748,0.5578434,0.7641537,1.0529858,1.4965516,1.4037123,1.4346594,1.4346594,1.4759202
1.3315042,0.83636177,0.5784748,0.5578434,0.7641537,1.0529858,1.4965516,1.4037123,1.4346594,1.4346594,1.4759202,1.1458253
0.83636177,0.5784748,0.5578434,0.7641537,1.0529858,1.4965516,1.4037123,1.4346594,1.4346594,1.4759202,1.1458253,0.45468822
0.5784748,0.5578434,0.7641537,1.0529858,1.4965516,1.4037123,1.4346594,1.4346594,1.4759202,1.1458253,0.45468822,-0.030138489
